14
Winterwings-DEATHKNIGHT
Dirkon-DEMONHUNTER
Deathhammer-DRUID
Resoka-HUNTER
Chàrizard-MAGE
Xiaoabu-MAGE
Cassezvous-MONK
Dreamlost-PALADIN
Wîllów-PALADIN
Exoskeleton-PRIEST
Padgarios-ROGUE
Paxi-WARLOCK
Blackcuillin-WARRIOR
Totempledge-WARRIOR
11
Bladesworn Disciple
Burning Hound
Chittering Fiend
Dreamlost-Sargeras
Hateful Scamp
Invasive Gazer
Shadowsworn Betrayer
Vengeful Conqueror
Vogrethar the Defiled
Wicked Corruptor
Zephyr Surfer
10/30 13:27:10.986  COMBAT_LOG_VERSION,4,ADVANCED_LOG_ENABLED,0
10/30 13:27:28.034  SPELL_DAMAGE,Player-76-0801833F,"Padgarios-Sargeras",0x528,0x0,Creature-0-3024-1779-3778-125759-0002776077,"Shadowsworn Betrayer",0xa48,0x0,196771,"Remorseless Winter",0x10,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,76679,-1,16,0,0,0,nil,nil,nil
10/30 13:27:28.034  SPELL_AURA_REFRESH,Player-76-0801833F,"Padgarios-Sargeras",0x528,0x0,Creature-0-3024-1779-3778-125759-0002776077,"Shadowsworn Betrayer",0xa48,0x0,211793,"Remorseless Winter",0x10,DEBUFF
10/30 13:27:28.034  SPELL_AURA_REFRESH,Player-76-0801833F,"Padgarios-Sargeras",0x528,0x0,Creature-0-3024-1779-3778-125776-0002776077,"Wicked Corruptor",0xa48,0x0,211793,"Remorseless Winter",0x10,DEBUFF
10/30 13:27:28.296  SPELL_PERIODIC_HEAL,Player-76-05C7F87D,"Dirkon-Sargeras",0x518,0x0,Player-76-05C7F87D,"Dirkon-Sargeras",0x518,0x0,194316,"Cauterizing Blink",0x4,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,160267,160267,0,nil
10/30 13:27:28.296  SPELL_AURA_REMOVED,Player-76-05C7F87D,"Dirkon-Sargeras",0x518,0x0,Player-76-05C7F87D,"Dirkon-Sargeras",0x518,0x0,194316,"Cauterizing Blink",0x4,BUFF
10/30 13:27:28.296  SPELL_DAMAGE,Player-76-0801833F,"Padgarios-Sargeras",0x528,0x0,Creature-0-3024-1779-3778-125776-0002776077,"Wicked Corruptor",0xa48,0x0,49184,"Howling Blast",0x10,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,1184467,-1,16,0,0,0,1,nil,nil
10/30 13:27:28.476  SPELL_DAMAGE,Player-76-0801833F,"Padgarios-Sargeras",0x528,0x0,Creature-0-3024-1779-3778-125921-0001776077,"Chittering Fiend",0xa48,0x0,237680,"Howling Blast",0x10,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,446969,-1,16,0,0,0,nil,nil,nil
10/30 13:27:28.476  SPELL_DAMAGE,Player-76-0801833F,"Padgarios-Sargeras",0x528,0x0,Creature-0-3024-1779-3778-125759-0002776077,"Shadowsworn Betrayer",0xa48,0x0,237680,"Howling Blast",0x10,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,446969,-1,16,0,0,0,nil,nil,nil
10/30 13:27:28.476  SPELL_DAMAGE,Player-76-0801833F,"Padgarios-Sargeras",0x528,0x0,Creature-0-3024-1779-3778-125745-0002776077,"Vengeful Conqueror",0xa48,0x0,237680,"Howling Blast",0x10,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,446967,-1,16,0,0,0,nil,nil,nil
10/30 13:27:28.476  SPELL_AURA_APPLIED,Player-76-0801833F,"Padgarios-Sargeras",0x528,0x0,Creature-0-3024-1779-3778-125776-0002776077,"Wicked Corruptor",0xa48,0x0,55095,"Frost Fever",0x10,DEBUFF
